snapshot_id,source_id,target_id,edge_id,raw_flow,effective_flow,capacity_p95,utilization,interruption_fraction,imputation_method,confidence_score,split
t000,0,116,0,5632.0,5632.0,7536.0,0.74734604,0.0,observed,1.0,train
t000,0,802,1,4030.0,4030.0,6001.0,0.67155474,0.0,observed,1.0,train
t000,1,107,2,1429.0,1429.0,7858.0,0.18185289,0.0,observed,1.0,train
t000,1,137,3,475.0,475.0,817.75,0.5808621,0.0,observed,1.0,train
t000,1,523,4,924.0,924.0,1431.25,0.64558953,0.0,observed,1.0,train
t000,1,690,5,915.0,915.0,1887.5,0.4847682,0.0,observed,1.0,train
t000,2,363,6,163.0,163.0,394.75,0.41291958,0.0,observed,1.0,train
t000,2,855,7,404.0,404.0,1002.25,0.40309304,0.0,observed,1.0,train
t000,2,1115,8,3028.0,3028.0,6085.5,0.4975762,0.0,observed,1.0,train
t000,3,184,9,6611.0,6611.0,9640.75,0.68573505,0.0,observed,1.0,train
t000,3,1113,10,974.0,974.0,2948.5,0.33033746,0.0,observed,1.0,train
t000,4,610,11,448.0,448.0,493.25,0.90826154,0.0,observed,1.0,train
t000,4,1004,12,733.0,733.0,4710.75,0.15560155,0.0,observed,1.0,train
t000,5,105,13,17470.0,17470.0,23878.25,0.7316282,0.0,observed,1.0,train
t000,5,226,14,1814.0,1814.0,1744.5,1.0398395,0.0,observed,1.0,train
t000,5,703,15,9788.0,9788.0,13618.5,0.7187282,0.0,observed,1.0,train
t000,6,34,16,582.0,582.0,887.5,0.65577465,0.0,observed,1.0,train
t000,6,387,17,118.0,118.0,571.25,0.20656455,0.0,observed,1.0,train
t000,6,588,18,1956.0,1956.0,12138.5,0.16114017,0.0,observed,1.0,train
t000,6,995,19,1166.0,1166.0,1460.0,0.7986301,0.0,observed,1.0,train
t000,7,1088,20,1312.0,1312.0,1912.5,0.68601304,0.0,observed,1.0,train
t000,7,1199,21,83.0,83.0,607.25,0.13668177,0.0,observed,1.0,train
t000,8,20,22,5517.0,5517.0,15881.75,0.34737986,0.0,observed,1.0,train
t000,8,323,23,294.0,294.0,642.0,0.45794392,0.0,observed,1.0,train
t000,8,408,24,281.0,281.0,1751.5,0.16043392,0.0,observed,1.0,train
t000,8,437,25,394.0,394.0,2349.75,0.16767742,0.0,observed,1.0,train
t000,8,606,26,194.0,194.0,2654.0,0.073097214,0.0,observed,1.0,train
t000,8,786,27,9534.0,9534.0,11362.5,0.8390759,0.0,observed,1.0,train
t000,8,913,28,1261.0,1261.0,9198.5,0.13708757,0.0,observed,1.0,train
t000,8,980,29,4594.0,4594.0,45187.5,0.10166528,0.0,observed,1.0,train
t000,8,984,30,1990.0,1990.0,8889.5,0.22385961,0.0,observed,1.0,train
t000,8,1094,31,575.0,575.0,2904.25,0.19798571,0.0,observed,1.0,train
t000,8,1181,32,706.0,706.0,1945.75,0.36284208,0.0,observed,1.0,train
t000,9,107,33,977.0,977.0,5214.5,0.18736216,0.0,observed,1.0,train
t000,9,383,34,316.0,316.0,1400.0,0.22571428,0.0,observed,1.0,train
t000,10,615,35,2458.0,2458.0,8714.5,0.28205863,0.0,observed,1.0,train
t000,11,184,36,1876.0,1876.0,2637.5,0.71127963,0.0,observed,1.0,train
t000,12,81,37,1417.0,1417.0,7372.5,0.19220075,0.0,observed,1.0,train
t000,12,753,38,260.0,260.0,1063.25,0.24453327,0.0,observed,1.0,train
t000,13,65,39,1314.0,1314.0,6329.0,0.20761573,0.0,observed,1.0,train
t000,13,107,40,6493.0,6493.0,69711.0,0.09314168,0.0,observed,1.0,train
t000,13,145,41,2122.0,2122.0,5408.75,0.39232725,0.0,observed,1.0,train
t000,13,160,42,7383.0,7383.0,18125.5,0.4073267,0.0,observed,1.0,train
t000,13,184,43,3083.0,3083.0,11276.5,0.27340043,0.0,observed,1.0,train
t000,13,392,44,1692.0,1692.0,9768.75,0.17320538,0.0,observed,1.0,train
t000,13,563,45,952.0,952.0,3150.25,0.30219823,0.0,observed,1.0,train
t000,13,702,46,7137.0,7137.0,8713.5,0.81907386,0.0,observed,1.0,train
t000,13,1017,47,1520.0,1520.0,7035.5,0.21604718,0.0,observed,1.0,train
t000,13,1154,48,248.0,248.0,1606.25,0.15439689,0.0,observed,1.0,train
t000,14,412,49,570.0,570.0,1085.5,0.5251036,0.0,observed,1.0,train
t000,14,698,50,5770.0,5770.0,7114.75,0.8109912,0.0,observed,1.0,train
t000,14,945,51,12065.0,12065.0,10331.25,1.167816,0.0,observed,1.0,train
t000,14,1170,52,11233.0,11233.0,9507.5,1.1814883,0.0,observed,1.0,train
