edge_id,source,target,distance_km,source_lon,source_lat,target_lon,target_lat
0,0,1,18.4136,-42.983083,-22.41246,-42.954881,-22.248986
1,0,3,11.6538,-42.983083,-22.41246,-42.880538,-22.389941
2,1,2,21.0251,-42.954881,-22.248986,-42.924757,-22.061982
3,1,3,17.6889,-42.954881,-22.248986,-42.880538,-22.389941
4,1,4,10.7789,-42.954881,-22.248986,-42.85795,-22.243145
5,2,3,36.7329,-42.924757,-22.061982,-42.880538,-22.389941
6,2,5,13.7612,-42.924757,-22.061982,-42.80426,-22.032824
7,2,8,20.5386,-42.924757,-22.061982,-42.740085,-22.050435
8,3,4,16.4861,-42.880538,-22.389941,-42.85795,-22.243145
9,3,6,12.5922,-42.880538,-22.389941,-42.778269,-22.439037
10,4,6,23.474,-42.85795,-22.243145,-42.778269,-22.439037
11,4,7,12.6908,-42.85795,-22.243145,-42.747215,-22.214696
12,5,6,45.1819,-42.80426,-22.032824,-42.778269,-22.439037
13,5,7,21.1576,-42.80426,-22.032824,-42.747215,-22.214696
14,5,8,7.3867,-42.80426,-22.032824,-42.740085,-22.050435
15,6,9,6.79,-42.778269,-22.439037,-42.717592,-22.446801
16,7,9,25.9726,-42.747215,-22.214696,-42.717592,-22.446801
17,7,10,7.5115,-42.747215,-22.214696,-42.682603,-22.234813
18,7,13,17.1606,-42.747215,-22.214696,-42.594934,-22.241377
19,8,9,44.0674,-42.740085,-22.050435,-42.717592,-22.446801
20,8,10,21.4375,-42.740085,-22.050435,-42.682603,-22.234813
21,8,11,11.5559,-42.740085,-22.050435,-42.637178,-22.034675
22,9,12,16.0994,-42.717592,-22.446801,-42.574525,-22.422961
23,10,11,22.7803,-42.682603,-22.234813,-42.637178,-22.034675
24,10,13,9.7584,-42.682603,-22.234813,-42.594934,-22.241377
25,11,13,23.4181,-42.637178,-22.034675,-42.594934,-22.241377
26,11,14,13.9978,-42.637178,-22.034675,-42.511118,-22.038091
27,12,13,20.2827,-42.574525,-22.422961,-42.594934,-22.241377
28,12,15,7.4871,-42.574525,-22.422961,-42.507368,-22.429249
29,13,16,14.7253,-42.594934,-22.241377,-42.462402,-22.247218
30,14,15,43.4205,-42.511118,-22.038091,-42.507368,-22.429249
31,14,16,23.8347,-42.511118,-22.038091,-42.462402,-22.247218
32,14,17,13.9227,-42.511118,-22.038091,-42.387279,-22.058001
33,15,18,14.9807,-42.507368,-22.429249,-42.375659,-22.399797
34,16,18,19.4819,-42.462402,-22.247218,-42.375659,-22.399797
35,16,19,12.2533,-42.462402,-22.247218,-42.353046,-22.232145
36,17,18,37.9613,-42.387279,-22.058001,-42.375659,-22.399797
37,17,19,19.6999,-42.387279,-22.058001,-42.353046,-22.232145
38,17,20,9.3484,-42.387279,-22.058001,-42.305193,-22.039161
39,17,23,22.1002,-42.387279,-22.058001,-42.189189,-22.03796
40,18,21,8.7837,-42.375659,-22.399797,-42.298481,-22.417273
41,19,21,21.4232,-42.353046,-22.232145,-42.298481,-22.417273
42,19,22,15.9958,-42.353046,-22.232145,-42.212321,-22.263182
43,20,21,41.977,-42.305193,-22.039161,-42.298481,-22.417273
44,20,22,26.9184,-42.305193,-22.039161,-42.212321,-22.263182
45,20,23,12.8771,-42.305193,-22.039161,-42.189189,-22.03796
46,21,22,19.5963,-42.298481,-22.417273,-42.212321,-22.263182
47,22,23,25.1311,-42.212321,-22.263182,-42.189189,-22.03796
