snapshot,node,current_strength,capacity_pressure,interruption_fraction,confidence,spatial_bonus,flow,capacity,utilization,split,disruption_flag,imputation_method
0,0,0.9652,0.3193,0.0,1.0,0.29,125.9266,145.8,0.8637,train,0,observed
0,1,1.4737,1.0,0.0,1.0,0.4517,219.4746,166.8218,1.3156,train,0,observed
0,2,1.3731,1.0,0.1446,1.0,0.43,201.7364,165.0,1.2226,train,0,observed
0,3,1.4629,1.0,0.0,1.0,0.5157,225.603,175.9214,1.2824,train,0,observed
0,4,1.3407,0.9906,0.0,1.0,0.4997,199.1765,170.8547,1.1658,train,0,observed
0,5,1.2511,0.8293,0.0,1.0,0.4513,182.3313,166.79,1.0932,train,0,observed
0,6,1.1805,0.6728,0.0,1.0,0.4506,170.521,166.7266,1.0228,train,0,observed
0,7,1.6871,1.0,0.0,1.0,0.6239,271.7324,185.0068,1.4688,train,0,observed
0,8,1.6807,1.0,0.0,1.0,0.5492,266.04,178.7287,1.4885,train,0,observed
0,9,1.3227,0.9829,0.0,1.0,0.4583,194.5398,167.3763,1.1623,train,0,observed
0,10,1.5397,1.0,0.0,1.0,0.5864,237.722,178.1393,1.3345,train,0,observed
0,11,1.2456,0.7914,0.0,1.0,0.4841,182.454,169.5477,1.0761,train,0,observed
0,12,1.27,0.8982,0.0,1.0,0.4167,180.0502,160.16,1.1242,train,0,observed
0,13,1.6202,1.0,0.0,1.0,0.6914,262.7934,190.6759,1.3782,train,0,observed
0,14,1.2538,0.811,0.0,1.0,0.4823,183.7845,169.3956,1.0849,train,0,observed
0,15,1.3913,1.0,0.0,1.0,0.4062,198.9651,159.2819,1.2491,train,0,observed
0,16,1.5599,1.0,0.0,1.0,0.5635,240.1172,176.2151,1.3626,train,0,observed
0,17,1.6329,1.0,0.0,1.0,0.5369,256.7782,177.6976,1.445,train,0,observed
0,18,1.4948,1.0,0.0,1.0,0.4642,223.657,167.8692,1.3323,train,0,observed
0,19,1.3056,0.9041,0.0,1.0,0.5108,193.5767,171.7891,1.1268,train,0,observed
0,20,1.3712,1.0,0.0,1.0,0.43,201.4092,165.0,1.2207,train,0,observed
0,21,1.322,1.0,0.0,1.0,0.43,193.3039,165.0,1.1715,train,0,observed
0,22,1.1693,0.6563,0.0,1.0,0.4398,168.3653,165.8227,1.0153,train,0,observed
0,23,1.1612,0.7004,0.0,0.3,0.36,160.8686,155.4,1.0352,train,0,static_fallback
1,0,1.025,0.4523,0.0,1.0,0.29,134.6488,145.8,0.9235,train,0,observed
1,1,1.5616,1.0,0.0,1.0,0.4517,234.1294,166.8218,1.4035,train,0,observed
1,2,1.326,1.0,0.0,1.0,0.43,193.9628,165.0,1.1755,train,0,observed
1,3,1.5315,1.0,0.0,1.0,0.5157,237.6621,175.9214,1.351,train,0,observed
1,4,1.5319,1.0,0.0,1.0,0.4997,231.8467,170.8547,1.357,train,0,observed
1,5,1.2657,0.8616,0.0,1.0,0.4513,184.7588,166.79,1.1077,train,0,observed
1,6,1.3934,1.0,0.0,1.0,0.4506,206.0301,166.7266,1.2357,train,0,observed
1,7,1.8041,1.0,0.0,1.0,0.6239,293.3684,185.0068,1.5857,train,0,observed
1,8,1.6668,1.0,0.0,1.0,0.5492,263.5525,178.7287,1.4746,train,0,observed
1,9,1.3864,1.0,0.0,1.0,0.4583,205.2011,167.3763,1.226,train,0,observed
1,10,1.6047,1.0,0.0,1.0,0.5864,249.2896,178.1393,1.3994,train,0,observed
1,11,1.3668,1.0,0.0,1.0,0.4841,203.0013,169.5477,1.1973,train,0,observed
1,12,1.3244,1.0,0.0,1.0,0.4167,188.759,160.16,1.1786,train,0,observed
1,13,1.6755,1.0,0.0,1.0,0.6914,273.3319,190.6759,1.4335,train,0,observed
1,14,1.3525,1.0,0.0,1.0,0.4823,200.5189,169.3956,1.1837,train,0,observed
1,15,1.3816,1.0,0.0,1.0,0.4062,197.4158,159.2819,1.2394,train,0,observed
1,16,1.5481,1.0,0.0,1.0,0.5635,238.0512,176.2151,1.3509,train,0,observed
1,17,1.7037,1.0,0.0,1.0,0.5369,269.3609,177.6976,1.5158,train,0,observed
1,18,1.64,1.0,0.0,1.0,0.4642,248.0262,167.8692,1.4775,train,0,observed
1,19,1.3053,0.9033,0.0,1.0,0.5108,193.5214,171.7891,1.1265,train,0,observed
1,20,1.4584,1.0,0.0,1.0,0.43,215.8026,165.0,1.3079,train,0,observed
1,21,1.3658,1.0,0.0,1.0,0.43,200.5306,165.0,1.2153,train,0,observed
1,22,1.2172,0.7628,0.0,1.0,0.4398,176.3154,165.8227,1.0633,train,0,observed
1,23,1.33,1.0,0.0,1.0,0.36,187.1021,155.4,1.204,train,0,observed
2,0,1.0068,0.4117,0.0,1.0,0.29,131.9889,145.8,0.9053,train,0,observed
2,1,1.4756,1.0,0.0,1.0,0.4517,219.7868,166.8218,1.3175,train,0,observed
